Latitudine,Longitudine,Categorie
45.7422749,22.9837195,anomalie necunoscuta
45.7454531,22.8866198,fortificatie
45.7483339,22.8885455,anomalie necunoscuta
45.7534277,23.0033442,anomalie necunoscuta
45.7724441,22.8869891,locuinta
45.775687,23.0032056,locuinta
45.7947198,22.9746282,fortificatie
45.8025754,23.163522,tumul
45.8166318,22.9785878,fortificatie
45.8181262,23.0858536,fortificatie
45.8210083,23.603724,fortificatie
45.8258724,23.225836,anomalie necunoscuta
45.8272042,22.9883102,anomalie necunoscuta
45.8284911,23.362584,val
45.8383888,23.0445737,fortificatie
45.8395984,22.9079733,fortificatie
45.8522832,22.9909352,fortificatie
45.8532497,22.9163987,anomalie necunoscuta
45.8573535,23.0516774,val
45.8600735,23.0353622,locuinta
45.8618783,23.0442462,fortificatie
45.8664354,22.8540323,locuinta
45.8666229,23.0809737,tumul
45.8671923,23.5840217,fortificatie
45.8712201,23.5751633,castru
45.8724853,23.1035403,anomalie necunoscuta
45.8822159,23.3030081,locuinta
45.888578,22.897235,fortificatie
45.8891349,23.3660936,fortificatie
45.8934233,23.2542131,fortificatie
45.8935733,23.193481,castru
45.8944742,23.1918151,castru
45.8955179,23.1905369,castru
45.8974569,23.2028893,anomalie necunoscuta
45.8975184,23.2448609,fortificatie
45.8976344,23.1740087,fortificatie
45.9028054,22.9652347,locuinta
45.9071546,22.8138013,fortificatie
45.9100639,22.9100144,locuinta
45.9120517,22.8153355,castru
45.9133946,23.4611597,locuinta
45.919692,23.3511832,fortificatie
45.9210977,23.3667233,locuinta
45.9212236,23.3496432,anomalie necunoscuta
45.9261825,22.8553937,anomalie necunoscuta
45.9354663,23.1630909,locuinta
45.9442048,23.4098833,fortificatie
45.9470233,22.5008555,fortificatie
45.9488514,22.7258606,fortificatie
45.9512994,23.3409496,locuinta
45.9552663,23.5914568,anomalie necunoscuta
45.9580942,22.5085807,fortificatie
45.9685223,23.4228715,locuinta
45.9854229,23.4800378,locuinta
45.9897859,23.4708615,anomalie necunoscuta
45.9969414,23.4796221,anomalie necunoscuta
45.997967,23.4682842,locuinta
45.9990013,23.4772156,locuinta
46.0095168,23.538746,fortificatie
46.0128138,23.5594135,locuinta
46.0157032,23.4965592,anomalie necunoscuta
46.019325,23.5178615,locuinta
46.0221225,23.5621042,anomalie necunoscuta
46.043922,23.5690296,locuinta
46.0511049,23.5555542,anomalie necunoscuta
46.061351,23.5685916,locuinta
46.0672692,23.5716521,castru
46.0675489,23.735975,locuinta
46.081941,23.5682062,anomalie necunoscuta
46.0888014,23.5804015,anomalie necunoscuta
46.0920089,23.5484627,anomalie necunoscuta
46.0923382,23.5436608,locuinta
46.0981148,23.5553919,anomalie necunoscuta
46.1197367,23.5440852,fortificatie
46.1203643,23.5199987,anomalie necunoscuta
46.1288585,23.4947847,castru
46.1912943,23.6555276,anomalie necunoscuta
46.1997112,23.6406337,locuinta
46.2053732,23.5934452,locuinta
46.2090658,23.4860829,fortificatie
46.2258653,23.7080973,fortificatie
46.2789011,23.7111407,tumul
46.3622021,23.7106468,fortificatie
46.3899722,23.7844799,locuinta
46.4098177,23.8632478,fortificatie
46.4125731,23.8630994,castru
46.4132823,23.8374647,fortificatie
46.4161087,23.8584941,fortificatie
46.4209798,23.9073427,fortificatie
47.381912,22.020990,tumul
47.425619,22.064195,anomalie necunoscuta
47.424342,22.071276,tumul
47.364816,22.091746,fortificatie
47.407949,22.140176,tumul
44.870855,26.080729,tumul
47.192847,22.480484,fortificatie
46.150212,21.553545,tumul
46.187080,21.637745,fortificatie
44.422072, 24.502859, anomalie necunoscută
44.531942, 24.673491, anomalie necunoscută
44.891679, 25.640974, anomalie necunoscută
44.961822, 25.554779, fortificatie
44.978680, 25.479516, burgus
44.643162, 25.933335, tumul
44.560402, 26.305196, anomalie necunoscută
44.473228, 26.505868, tumul
48.075040, 26.296592, anomalie necunoscută
48.058298, 26.246338, anomalie necunoscută
